!SIL	SIL
%	P AH R S EY N T
chair	CH EY AH R
chance	CH AA N S
change	CH EY N JH
changed	CH EY N JH D
changer	CH EY N JH AH R
channel	CH AE N AH L
chant	CH AE N T
chanting	CH AE N T IH N G
chapatti	CH AH P AA TH IY
character	K AE R EH K T AH R
characteristic	K AE R EH K T AH R IH S T IH K
characters	K AE R EH K T AH R S
charactor	CH AA R AE K T AH R
charge	CH AA R JH
chase	CH EY S
chased	CH EY S D
chases	CH EY S EH S
chases	CH EY Z IH Z
chasing	CH EY S IH N G
chasing	CH EY Z IH N G
chat	CH AE T
chats	CH AE T S
chatted	CH AE T EH D
chattered	CH AE T AH R D
cheap	CH IY P
check	CH EH K
checked	CH EH K D
checks	CH EH K S
cheek	CH IY K
cheeks	CH IY K S
cheeku	CH IY K UW
cheeku's	CH IY K UH Z
cheekus	CH IY K UW Z
cheer	CH IY R
cheered	CH IY AH R D
cheerfully	CH IY AH R F UH L IY
cheese	CH IY Z
cheeses	CH IY Z EH S
chef	SH EH F
chemical	K EH M IH K AH L
cherry	CH EH R IY
chess	CH EY S
chest	CH EH S T
chewed	CH UW D
chick	CH IH K
chief	CH IY F
chikootichoo	CH IH K UH T IH CH UH
child	CH AY L D
childhood	CH AY L D HH UH D
children	CH IH L D R EH N
children's	CH IH L D R AH N Z
childrens	CH IH L D R EH N S
chill	CH IH L
chilled	CH IH L D
chin	CH IH N
chintu	CH IH N T UW
chip	CH IH P
chirped	CH AH R P D
chocolates	CH AO K L EH T S
choice	CH OY S
choose	CH UW Z
choosen	CH UW Z EH N
chopped	CH AO P D
chopping	CH AO P IH N G
chose	CH OW Z
chosen	CH OW Z AH N
chosen	CH UW Z EH N
christmas	K R IH S M AH S
chrome	K R OW M
chronicles	K R AO N IH K AH L Z
chronicles	K R OW N IH K AH L S
chunk	CH AH N K
chunks	CH AH N K S
church	CH AH R CH
cinema	S IH N EH M AA
cinematographer	S IH N EH M AE T OW G R AA F AH R
circle	S AH R K AH L
circular	S AH R K Y UH L AH R
circumstance	S AH R K AH M S T AH N S
city	S IH T IY
claim	K L EY M
claimed	K L EY M D
clam	K L AA M
clam	K L AE M
clamp	K L AE M P
clap	K L AE P
clapped	K L AE P D
clapping	K L AE P IH N G
claps	K L AE P S
class	K L AA S
classes	K L AA S EH S
clause	K L AO Z
claw	K L AO
claws	K L AO Z
clay	K L EY
clean	K L IY N
cleaned	K L IY N D
cleaning	K L IY N IH N G
clear	K L IY AH R
clearing	K L IY AH R IH N G
clever	K L AE W AH R
clever	K L EH W AH R
cley	K L IY IY
click	K L IH K
clicking	K L IH K IH N G
cliff	K L IY F
climate	K L AY M EY T
climb	K L AY M B
climbed	K L AY M B D
climber	K L AY M B AH R
climbers	K L AY M B AH R S
climbers	K L AY M B AH R Z
climbing	K L AY M B IH N G
climbs	K L AY M B Z
clime	K L AY M
cling	K L IH N G
clinging	K L IH NG IH NG
clinic	K L IH N IH K
clip	K L IH P
cloak	K L OW K
clock	K L AO K
clock's	K L AA K S
close	K L OW Z
closed	K L OW Z D
closely	K L OW Z L IY
closer	K L OW Z AH R
closest	K L OW Z EH S T
closet	K L AO Z EH T
cloth	K L AO TH
clothe	K L OW DH
clothes	K L AO TH Z
clothes	K L OW DH Z
cloud	K L AW D
clouds	K L AW D S
clouds	K L AW D Z
club	K L AH B
clutch	K L AH CH
co	K OW
coach	K OW CH
coal	K OW L
coat	K OW T
coats	K OW T S
coaxed	K AO K S D
coaxed	K OW AE K S D
coaxed	K OW K S D
coconut	K OW K OW N AH T
coconuts	K OW K OW N AH T S
code	K OW D
coffee	K AA F IY
coffee	K AO F IY
coin	K OY N
coins	K AO IH N S
col	K AA L
cold	K OW L D
collapsed	K OW L AE P S D
collars	K AO L AH R S
collect	K AH L EH K T
collected	K AH L EH K T EH D
collide	K AH L AY D
colors	K AH L AH R S
colour	K AH L AH R
colours	K AH L AH R S
combination	K AA M B AH N EY SH AH N
combine	K AH M B AY N
combined	K AH M B AY N D
combines	K AH M B AY N S
combines	K AH M B AY N Z
come	K AH M
comer	K AH M AH R
comes	K AH M S
comic	K AO M IH K
comics	K AO M IH K S
coming	K AH M IY N G
command	K AH M AA N D
commands	K AH M AA N D S
commenced	K AH M EH N S D
commend	K AH M EH N D
comment	K AH M EH N T
comments	K AH M EH N T S
commit	K AH M IH T
commitment	K AH M IH T M EH N T
common	K AO M AH N
companion	K AH M P AE N IH Y AH N
companion	K AH M P AE N Y AH N
compare	K AH M P EY R
compassion	K AH M P AE SH AH N
competitive	K AH M P EH T IH T IH V
competitive	K AH M P EH T IH T IH W
competitive	K AH M P EH T IH T IH W HH
competitive	K AO M P IH T IH T IH V
competitive	K AO M P IH T IH T IH W
competitive	K AO M P IH T IH T IH W HH
complain	K AH M P L EY N
complained	K AH M P L EY N D
complaining	K AH M P L EY N IH N G
complaint	K AH M P L EY N T
complaints	K AH M P L EY N T S
complete	K AH M P L IY T
completed	K AH M P L IY T EH D
completes	K AH M P L IY T S
completing	K AH M P L IY T IH N G
complex	K AO M P L EH K S
complicated	K AO M P L IH K EY T EY D
component	K AH M P OW N AH N T
con	K AO N
conceal	K AH N S IY L
concealed	K AH N S IY L D
concede	K AH N S IY D
concentrate	K AO N S AH N T R EY T
concentrated	K AO N S AH N T R EY T EH D
concentration	K AO N S AH N T R EY SH AH N
concern	K AH N S AH R N
concert	K AH N S AH R T
condition	K AH N D IH SH AH N
conduct	K AA N D AH K T
confirm	K AH N F AH R M
confirmed	K AH N F AH R M D
confuse	K AH N F Y UW Z
confused	K AH N F Y UW Z D
congratulations	K AH N G R AE CH UH L EY SH AH N S
congratulations	K AO N G R AE CH UH L EY SH AH N S
connect	K AH N EH K T
connecting	K AH N EH K T IH N G
connectors	K AH N EH K T AH R Z
cons	K AO N S
consequence	K AO N S IH K W EY N S
consider	K AH N S IH D AH R
considerable	K AH N S IH D AH R EY B AH L
consideration	K AH N S IH D AH R EY SH AH N
considered	K AH N S IH D AH R D
considers	K AH N S IH D AH R S
considers	K AH N S IH D AH R Z
consist	K AH N S IH S T
consists	K AH N S IH S T S
consolate	K AO N S OW L EY TH
console	K AH N S OW L
consoled	K AH N S OW L D
constant	K AO N S T AH N T
consulate	K AH N S UH L EY T
consult	K AH N S AH L T
contact	K AO N T AE K T
contain	K AH N T EY N
container	K AH N T EY N AH R
containers	K AH N T EY N AH R S
containers	K AH N T EY N AH R Z
content	K AH N T EH N T
contented	K AH N T EH N D EH D
contentment	K AH N T EH N T M EH N T
contest	K AO N T EH S T
continually	K AH N T IH N Y AO L IY
continually	K AH N T IH N Y UH AH L IY
continue	K AH N T IH N Y UW
continued	K AH N T IH N Y UW D
continuous	K AH N T IH N UH AH S
continuously	K AH N T IH N Y UW AH S L IY
contrast	K AO N T R AA S T
control	K AH N T R OW L
controlling	K AH N T R OW L IH N G
convenience	K AH N W IH N IH Y AH N T
convenient	K AH N V IY N Y AH N T
convent	K AO N V EH N T
convent	K AO N W EH N T
convent	K AO N W HH EH N T
cook	K UH K
cooking	K UH K IH NG
cool	K UW L
cooled	K UW L D
copied	K AO P IY D
copy	K AA P IY
cord	K AO R D
cordially	K AO R D IH AH L IY
cords	K AO R D S
cords	K AO R D Z
core	K OW R
corn	K AO R N
corner	K AO R N AH R
correct	K AH R EH K T
correctly	K AH R EH K T L IY
corrector	K AH R EH K T AH R
cost	K AO S T
costly	K AO S T L IY
cosy	K OW Z IY
cottage	K AO T EH JH
cottage	K AO T IH JH
cough	K AA F
cough	K AO F
could	K UH D
couldn't	K UH D AH N T
count	K AW N T
country	K AH N T R IY
couple	K AH P AH L
couples	K AH P AH L Z
courageous	K AH R EY JH AH S
courageous	K AH R EY JH IH Y AH S
course	K OW R S
court	K OW R T
courtyard	K OW R T Y AA R D
cover	K AH W AH R
covered	K AH W AH R D
covering	K AH V AH R IH NG
covering	K AH V R IH NG
covers	K AH W AH R S
cow	K AW
cowed	K AW D
cows	K AW Z
cozy	K OW Z IY
crafted	K R AA F T EH D
craggy	K R AE G IY
cram	K R AE M
crash	K R AE SH
crashes	K R AE SH EH S
crashes	K R AE SH EH Z
crashes	K R AE SH IH S
crashes	K R AE SH IH Z
craving	K R EY W IH N G
crawled	K R AO L D
craze	K R EY Z
crazy	K R EY Z IY
cream	K R IY M
creams	K R IY M S
creams	K R IY M Z
create	K R IY EY T
created	K R IY EY T EH D
creates	K R IY EY T S
creating	K R IY EY T IH N G
creators	K R IY EY T AH R Z
creature	K R IY CH AH R
creature	K R IY EY CH AH R
creatures	K R IY CH AH R S
creeper	K R IY P AH R
crews	K R UW Z
cricket	K R IH K EY T
cried	K R AY D
cries	K R AY Z
crime	K R AY M
criticism	K R IH T IH S IH Z M
crocodile	K R OW K OW D AY L
crop	K R AO P
crops	K R AO P S
cross	K R AO S
crossed	K R AO S D
crossing	K R AO S IH N G
crow	K R OW
crow's	K R OW Z
crowded	K R AW D AH D
crowded	K R AW D IH D
crowed	K R OW D
crown	K R AW N
crows	K R OW Z
crumbs	K R AH M B Z
crunch	K R AH N CH
crunching	K R AH N CH IH NG
crush	K R AH SH
crust	K R AH S T
cry	K R AY
crying	K R AY N G
cubes	K Y UW B Z
cubs	K AH B Z
cucumber	K Y UH K AH M B AH R
cucumbers	K Y UH K AH M B AH R S
culprit	K AH L P R IH T
culture	K AH L CH AH R
cultures	K AH L CH AH R Z
cum	K AH M
cup	K AH P
curiosity	K Y UH R IY AO S IH T IY
curious	K Y UH R IH AH S
curiously	K Y UH R IH AH S L IY
curl	K AH R L
curled	K AH R L D
curly	K AH R L IY
current	K AH R AH N T
currently	K AH R AH N T L IY
curse	K AH R S
curtain	K AH R T AH N
curtains	K AH R T AH N S
curve	K AH R V
curve	K AH R W
curve	K AH R W HH
curving	K AH R V IH NG
curving	K AH R W HH IH NG
curving	K AH R W IH NG
custom	K AH S T AH M
customer	K AH S T AH M AH R
customers	K AH S T AH M AH R S
cut	K AH T
cute	K Y UW T
cuter	K Y UW T AH R
cutrain	K AH R T AH N
cuts	K AH T S
cutter	K AH T AH R
cutters	K AH T AH R S
cutting	K AH T IH N G
cycle	S AY K AH L
cycles	S AY K AH L S
cycling	S AY K L IH N G
d	D IY
daawid	D AA W IH D
dad	D AE D
daily	D EY L IY
dainty	D EY N T IY
dairy	D EH R IY
damage	D AE M EH JH
damaged	D AE M AH JH D
damaged	D AE M IH JH D
damp	D AE M P
dams	D AE M S
dance	D AA N S
danced	D AA N S D
dancer	D AE N S AH R
dances	D AE N S AH Z
dances	D AE N S IH Z
dancing	D AA N S IH N G
danger	D EY N JH AH R
dangerous	D EY N JH AH R AH S
dangers	D EY N JH AH R S
danny	D AE N IY
danny's	D AE N IY Z
danzil	D AE N Z IH L
dare	D EH R
dared	D EY AH R D
dark	D AA R K
darker	D AA R K AH R
darkness	D AA R K N EH S
dart	D AA R T
darted	D AA R T EH D
dashed	D AE SH D
date	D EY T
dated	D EY T IH D
dates	D EY T S
dating	D EY T IH NG
daughter	D AO T AH R
david	D EY W IH D
david's	D EY W IH D S
david's	D EY W IH D Z
daw	D AW
dawn	D AO N
day	D EY
daybreak	D EY B R EY K
days	D EY Z
dead	D EH D
deadly	D EH D L IY
deafness	D EH F N EH S
deafness	D IY F N EH S
deal	D IY L
dealing	D IY L IH N G
dealt	D EH L T
dean	D IY N
dear	D IY AH R
dearly	D IH AH R L IY
death	D EY TH
debate	D IH B EY T
debut	D EH B Y UW
decide	D IH S AY D
decided	D IH S AY D EH D
decision	D IH S IH JH AH N
declare	D IH K L EY AH R
declared	D IH K L EY AH R D
decorate	D EH K AH R EY T
dedicated	D EH D IH K EY T EH D
dedication	D EH D IH K EY SH AH N
dee	D IY
deed	D IY D
deem	D IY M
deemed	D IY M D
deep	D IY P
deepa	DH IY P AA
deeper	D IY P AH R
deepesh	DH IH P EY SH
deepest	D IY P EH S T
deer	D IY AH R
defective	D IH F EH K T IH W
defense	D IH F EH N S
definition	D EH F IH N IH SH AH N
deity	D EH IH T IY
delete	D IH L IY T
delhi	D EH L HH IY
delicious	D IH L IY SH IH AH S
deliciously	D IH L IY SH IH AH S L IY
delight	D IH L AY T
delighted	D IH L AY T EH D
demand	D IH M AA N D
demanded	D IH M AA N D EH D
den	D EH N
denny	D EH N IY
dense	D EH N S
denz	D EH N Z
denzal	D EH N Z AH L
denzil	D EH N Z IH L
denzils	D EH N Z IH L S
denzy	D EH N Z IY
depend	D IH P EY N D
depends	D IH P EY N D S
description	D IH S K R IH P SH AH N
desert	D EH Z AH R TH
deserts	D EH Z AH R T S
deserts	D IH Z AH R T S
deserve	D IH Z AH R W
deserver	D IH Z AH R W AH R
deserves	D IH Z AH R W Z
design	D IH Z AY N
desire	D IH Z AY R
despaired	D IH S P EY R D
despite	D IH S P AY T
dessert	D IH Z AH R T
destiny	D EH S T IH N IY
destroy	D IH S T R OY
destroyed	D IH S T R OY D
detached	D IH T AE CH D
detective	D IH T EH K T IH W
determined	D IH T AH R M AY N D
dev	D EY W
developed	D EH V AH L AH P D
developed	D EH V EH L AH P T
developed	D EH W AH L AH P D
developed	D EH W EH L AH P T
developed	D EH W HH AH L AH P D
developed	D EH W HH EH L AH P T
dew	D Y UW
dezil	D EH Z IH L
dialogues	D AY L AO G Z
diany	D AY N IY
diary	D AY AH R IY
diary	D AY R IY
dice	D AY S
did	D IH D
didn't	D IH D AH N T
didnot	D IH D N AO T
didnt	D IH D AH N T
die	D AY
died	D AY D
diet	D AA EH T
diet	D AY T
difference	D IH F R AH N S
different	D IH F R AH N T
differently	D IH F R AH N T L IY
difficult	D IH F IY K AH L T
difficulties	D IH F IY K AH L T IY Z
difficultly	D IH F IY K AH L T L IY
difficulty	D IH F IY K AH L T IY
dig	D IH G
diligently	D IH L IY JH EH N T L IY
dim	D IH M
dimension	D IH M EH N SH AH N
dimensions	D AY M EH N SH AH N S
dimensions	D IH M EH N SH AH N Z
dimwit	D IH M W IH T
din	D IH N
dine	D AY N
dinesh	DH IH N EY SH
dinesh's	DH IH N EY SH EH S
dinesh's	DH IH N EY SH S
dining	D AY N IH N G
dinner	D IH N AH R
dint	D IH N T
dip	D IH P
direct	D AY R EH K T
directed	D AH R EH K T AH D
directed	D AH R EH K T IH D
directed	D AY R EH K T IH D
directed	D IH R EH K T IH D
direction	D AY R EH K SH AH N
direction	D IH R EH K SH AH N
directions	D AY R EH K SH AH N S
directly	D AY R EH K T L IY
dirt	D AH R T
dirty	D AH R T IY
dis	D IH S
disadvantage	D IH S AE D V AA N T EH JH
disadvantage	D IH S AE D W AA N T EH JH
disadvantage	D IH S AE D W HH AA N T EH JH
disadvantage	D IH S AH D V AA N T EH JH
disadvantage	D IH S AH D W AA N T EH JH
disadvantage	D IH S AH D W HH AA N T EH JH
disagreeing	D IH S AH G R IY IH N G
disagreeing	D IH S AH G R IY IH NG
disappear	D IH S AH P IY AH R
disappeared	D IH S AH P IY AH R D
disappearing	D IH S AH P IY AH R IH N G
disarming	D IH S AA R M IH NG
disaster	D IH Z AA S T AH R
discount	D IH S K AW N T
discouraged	D IH S K AH R EH JH D
discover	D IH S K AH W AH R
discovery	D IH S K AH W AH R IY
discuss	D IH S K AH S
discussing	D IH S K AH S IH N G
discussion	D IH S K AH SH AH N
discussions	D IH S K AH SH AH N S
disease	D IH Z IY Z
diseases	D IH S IY Z EH S
diseases	D IH Z IY Z EH Z
diseases	D IH Z IY Z IH Z
dish	D IH SH
dismay	D IH S M EY
dispatch	D IH S P AE CH
dispute	D IH S P Y UW T
disputes	D IH S P Y UW T S
disrespect	D IH S R IH S P EY K T
distance	D IH S T EH N S
distinct	D IH S T IH NG K T
distribute	D IH S T R IH B Y UW T
distributed	D IH S T R IH B Y AH T AH D
district	D IH S T R IH K T
disturb	D IH S T AH R B
disturbed	D IH S T AH R B D
ditch	D IH CH
dive	D AY V
dive	D AY W
dive	D AY W HH
dived	D AY W D
dives	D AY V Z
divide	D IH W AY D
divided	D IH W AY D EH D
divides	D IH V AY D Z
divine	D IH V AY N
dizziness	D IH Z IH N EH S
do	D UW
do's	D UW Z
dock	D AO K
doctor	D AO K T AH R
doctors	D AO K T AH R S
doddooru	DH OW DH UH R UH
dodge	D AO JH
doe	D OW
does	D AH Z
doesn't	D AH Z AH N T
dog	D AO G
dogs	D AO G Z
doing	D UH IH N G
doll	D AO L
dollars	D AO L AH R S
domestic	D AH M EH S T IH K
domesticate	D AH M EH S T AH K EY T
domesticated	D AO M EH S T IH K EY T EH D
domesticated	D OW M EH S T IH K EY T EH D
don	D AO N
don't	D OW N T
done	D AH N
donkey	D AO N K IY
donkey's	D AO N K IY Z
donkeys	D AO N K IY Z
dont	D OW N T
door	D OW R
doors	D AO R Z
dose	D OW S
dot	D AO T
doubtful	D AW T F UH L
doubts	D AW T S
doves	D AH W Z
dowing	D OW IH N G
dowing	DH OW IH N G
down	D AW N
downhill	D AW N HH IH L
downs	D AW N S
downstream	D AW N S T R IY M
downstreams	D AW N S T R IY M S
dozed	D OW Z D
dozen	D AH Z AH N
dragged	D R AE G D
dragon	D R AE G AH N
drain	D R EY N
drained	D R EY N D
drank	D R AE N K
draw	D R AO
drawee	D R AW IY
drawing	D R AW IH N G
drawn	D R AO N
dray	D R EY
dream	D R IY M
dreaming	D R IY M IH N G
dreams	D R IY M S
dreamt	D R EH M T
dreamy	D R IY M IY
dress	D R EH S
dressed	D R EH S D
drew	D R UW
dried	D R AY D
drifted	D R IH F T EH D
drink	D R IH N K
drinking	D R IH N K IH N G
drive	D R AY W
driving	D R AY V IH NG
dromedary	D R AO M EH D AH R IY
drone	D R OW N
drop	D R AO P
dropped	D R AO P D
drought	D R AO T
drowned	D R AW N D
drowning	D R AW N IH N G
drum	D R AH M
drums	D R AH M S
drunk	D R AH N K
dry	D R AA Y
dry	D R AY
drying	D R AA IH N G
drying	D R AY N G
duck	D AH K
ducks	D AH K S
due	D Y UW
dug	D AH G
dull	D AH L
dumb	D AH M B
dunked	D AH N K D
duper	D UW P AH R
during	D Y UW R IH N G
dusk	D AH S K
dust	D AH S T
dutch	D AH CH
dying	D AY N G
e	IY
each	IY CH
eagerly	IY G AH R L IY
eagle	IY G AH L
eagles	IY G AH L S
ear	IY AH R
earlier	AH R L IY AH R
early	AH R L IY
earn	AH R N
earring	IH AH R R IH N G
ears	IY AH R S
earth	AH R TH
easily	IY Z IY L IY
east	IY S T
easy	IY Z IY
eat	IY T
eaten	IY T EH N
eating	IY T IH N G
eats	IY T S
edge	EH JH
editing	EH D AH T IH NG
editing	EH D IH T IH NG
education	EH JH AH K EY SH AH N
education	EH JH Y UW K EY SH AH N
effect	IH F EY K T
effective	IH F EY K T IH W
effort	EH F AH R T
egg	EH G
eggs	EH G Z
eggs	EY G Z
ehh	EH HH
eight	EY T
eighteen	EY T IY N
eighteenth	EY T IY N TH
eighty	EY T IY
either	AY DH AH R
either	IY DH AH R
element	EH L IH M EY N T
elephant	AE L IH F AE N T
elephant	EH L IH F AE N T
elephant	EH L IH F EH N T
elephant's	EH L IH F EH N T S
eleven	IH L EH V AH N
eleven	IY L EH V AH N
ellappan	EH L AH P AH N
else	EH L S
elsewhere	EH L S W EY R
elves	EH L W Z
em	EH M
embarrass	EH M B AE R EH S
embarrassed	EH M B AE R EH S D
embarrassing	EH M B AE R EH S IH N G
embraced	EH M B R EY S D
emotion	IH M OW SH AH N
emotionally	IH M OW SH AH N AH L IY
empathize	EH M P AH TH AY Z
emperor	EH M P AH R AH R
emperors	EH M P AH R AH R S
empires	EH M P AY AH R Z
empower	EH M P AA W AH R
emptied	EH M P T IY D
empty	EH M P T IY
empty-handed	EH M P T IY HH AE N D EH D
empty-हॅडेड	EH M P T IY HH AE D EY D
enact	EH N AE K T
encounter	EH N K AW N T AH R
encourage	EH N K AH R EY JH
encouraged	EH N K AH R EY JH D
end	EH N D
ended	EH N D EH D
endless	EH N D L EH S
endorsement	EH N D AO R S M EH N T
ends	EH N D S
endurance	EH N D Y UH R AH N S
enemy	EH N AH M IY
energy	EY N AH R JH IY
england	IH NG L AE N D
england	IH NG L AH N D
english	IH N G L IH SH
enjoy	EH N JH AO Y
enjoy	EH N JH OW Y
enjoy	IY N JH AO Y
enjoyed	EH N JH OY D
enjoying	EH N JH OY IH N G
enjoyment	EH N JH OY M EH N T
enormous	EH N AO R M AH S
enough	IH N AH F
enraged	EH N R EY G D
enrolled	EH N R OW L D
enter	EH N T AH R
entered	EH N T AH R D
enters	EH N T AH R S
entertaining	EH N T AH R T EY N IH N G
entertainment	EH N T AH R T EY N M EH N T
enthusiastically	EH N TH UH Z IH AE S T IH K AH L IY
entire	EH N T AY R
entires	IH N T AY AH R Z
entrance	EY N T R AH N S
entrance	EY N T R EH N S
entries	EH N T R IY Z
entry	EH N T R IY
envious	EH N W IY AH S
envy	EH N W IH
equal	IY K W AH L
equation	IH K W EY SH AH N
equipped	EH K W IH P D
equipped	EH K W IH P T
equipped	IH K W IH P D
equipped	IH K W IH P T
errant	AH R AH N T
erratic	AH R AE T IH K
erratic	IH R AE T IH K
error	EH R AH R
escape	EH S K EY P
especially	EH S P EY SH AH L IY
etc	EH K S EH K T R AA
eve	IY W
evelyn	EH V AH L IH N
evelyn	EH V AH L IY N
evelyn	EH W AH L IH N
evelyn	EH W AH L IY N
evelyn	EH W HH AH L IH N
evelyn	EH W HH AH L IY N
even	IY W EH N
evening	IY W N IH N G
event	IH W EH N T
events	IH W EH N T S
eventually	IH W EH N CH Y UH L IY
ever	EH W AH R
ever-present	EH W AH R P R EH Z EH N T
evermore	EH W AH R M OW R
every	EH W R IY
everybody	EH W R IY B AH D IY
everybody's	EH W R IY B AH D IY Z
everyday	EH W R IY D EY
everyone	EH W R IY W AH N
everyone's	EH V R IY W AH N S
everyone's	EH W HH R IY W AH N S
everyone's	EH W R IY W AH N S
everything	EH W R IY TH IH N G
everytime	EH W R IH T AY M
everywhere	EH W R IY W EY AH R
evil	EY W IH L
evolved	EH V AO L V D
evolved	EH W AO L W D
evolved	EH W HH AO L W HH D
evolved	IH V AO L V D
evolved	IH W AO L W D
evolved	IH W HH AO L W HH D
ex	EH K S
exact	EH G Z AE K T
exactly	EH G Z AE K T L IY
examinations	EH G Z AA M IH N EY SH AH N S
examinations	EH G Z AE M IH N EY SH AH N S
examinations	EH G Z AE M IH N EY SH AH N Z
examined	EH G Z AE M IH N D
example	IH G Z AE M P AH L
examples	EH G Z AA M P AH L S
examples	EH G Z AE M P AH L Z
excellent	EH K S IH L EH N T
except	EH K S EH P T
excepted	IH K S EH P T IH D
excess	EH K S EH S
exchange	EH K S CH EY N JH
excite	EH K S AY T
excited	EH K S AY T EH D
excitedly	EH K S AY T EH D L IY
excitely	EH K S AY T L IY
excitement	EH K S AY T M EH N T
exciting	EH K S AY T IH N G
exclaim	EH K S K L EY M
exclaimed	EH K S K L EY M D
excusing	EH K S K Y UH Z IH N G
exercise	EH K S AH R S AY Z
exercises	EH K S AH R S AY Z EH S
exercising	EH K S AH R S AY Z IH N G
exhausting	EH G Z AO S T IH N G
existing	EH G Z IH S T IH N G
exited	EH G Z AH T IH D
exiting	EH G Z IH T IH NG
expect	EH K S P EH K T
expectation	EH K S P EH K T EY SH AH N
expectations	EH K S P EH K T EY SH AH N S
expected	EH K S P EH K T EH D
expedition	EH K S P EH D IH SH AH N
expel	EH K S P EH L
expenses	EH K S P EH N S EH S
expenses	EH K S P EH N S EH Z
expenses	IH K S P EH N S IH Z
expensive	EH K S P EH N S IH W
experience	EH K S P IY R IH EH N S
experiences	EH K S P IY R IH EH N S EH S
experiments	EH K S P IY R IH M EH N T S
explain	EH K S P L EY N
explained	EH K S P L EY N D
explanation	EH K S P L AH N EY SH AH N
exports	EH K S P OW R T S
expose	IH K S P OW Z
express	EH K S P R EH S
expression	EH K S P R EH SH AH N
expressions	EH K S P R EH SH AH N S
exquisitely	EH K S K W IH Z IH T L IY
extend	EH K S T EH N D
extended	EH K S T EH N D EH D
extention	EH K S T EH N SH AH N
extremely	EH K S T R IY M L IY
eye	AA IY
eye	AA Y
eye	AY
eyes	AA IY Z
eyes	AY Z
f	EH F
fab	F AE B
face	F EY S
faced	F EY S D
faces	F EY S EH S
facing	F EY S IH N G
fact	F AE K T
factor	F AE K T AH R
fade	F EY D
fail	F EY L
failed	F EY L D
fails	F EY L S
faint	F EY N T
fainted	F EY N T EH D
fainted	F EY N T IH D
fair	F EY AH R
fake	F EY K
falk	F AO K
fall	F AO L
fallen	F AO L EH N
falls	F AO L S
fame	F EY M
families	F AE M IH L IY Z
families	F AE M L IY Z
family	F AE M IH L IY
family	F AE M L IY
famous	F EY M AH S
fan	F AE N
fanciest	F AE N S IY EH S T
fancy	F AE N S IY
fans	F AE N S
fans	F AE N Z
far	F AA R
fare	F EY R
farm	F AA R M
farmer	F AA R M AH R
farmer's	F AA R M AH R S
farmers	F AA R M AH R S
farms	F AA R M S
fart	F AA R T
fashioning	F AE SH AH N IH N G
fast	F AA S T
faster	F AA S T AH R
fastly	F AA S T L IY
fat	F AE T
fate	F EY T
father	F AA DH AH R
father's	F AA DH AH R Z
fathers	F AA DH AH R S
fatty	F AE T IY
faul	F AO L
fault	F AO L T
favor	F EY W AH R
favorite	F EY W R IH T
favour	F EY W AH R
favourite	F EY W R IH T
fear	F IY AH R
fears	F IY AH R S
feast	F IY S T
feather	F EH DH AH R
feathers	F EH DH AH R Z
feature	F IY CH AH R
features	F IY CH AH R Z
fed	F EH D
fee	F IY
feed	F IY D
feeding	F IY D IH N G
feeds	F IY D Z
feel	F IY L
feeling	F IY L IH N G
feelings	F IY L IH N G Z
feels	F IY L S
fees	F IY Z
feet	F IY T
fell	F EH L
felled	F EH L D
fellow	F EH L OW
fells	F EH L Z
felt	F EH L T
female	F IY M EY L
females	F IY M EY L Z
fence	F EH N S
fend	F EY N D
ferocious	F EY R OW SH AH S
ferocious	F EY R OW SH Y AH S
ferried	F EH R IY D
fetch	F EH CH
fever	F IY V AH R
fever	F IY W AH R
fever	F IY W HH AH R
fevicol	F EH W IY K AO L
few	F Y UW
fewer	F Y UW AH R
fibre	F AY B AH R
field	F IY L D
fields	F IY L D S
fifth	F IH F TH
fifth	F IH TH
fifty	F IH F T IY
fight	F AY T
fighting	F AY T IH NG
figure	F IH G AH R
figures	F IH G Y AH R Z
file	F AY L
filed	F AY L D
files	F AY L S
files	F AY L Z
fill	F IH L
filled	F IH L D
filling	F IH L IH N G
fills	F IH L S
film	F IH L M
films	F IH L M S
films	F IH L M Z
fin	F IH N
final	F AA IH N AH L
final	F AY N AH L
finally	F AY N AH L IY
find	F AY N D
fine	F AY N
finely	F AY N L IY
finest	F AY N EH S T
finger	F IH N G AH R
fingers	F IH N G AH R S
finicky	F IH N IH K IY
finish	F IH N IH SH
finished	F IH N IH SH D
finishing	F IH N IH SH IH N G
fire	F AY R
fired	F AY R D
firm	F AH R M
firmly	F AH R M L IY
first	F AH R S T
fish	F IH SH
fisherman	F IH SH AH R M AE N
fishermen	F IH SH AH R M EH N
fishes	F IH SH EH S
